GeographyCode,QS110NI0001,QS110NI0002,QS110NI0003,QS110NI0004,QS110NI0005,QS110NI0006,QS110NI0007,QS110NI0008,QS110NI0009,QS110NI0010,QS110NI0011,QS110NI0012,QS110NI0013,QS110NI0014,QS110NI0015,QS110NI0016,QS110NI0017,QS110NI0018,QS110NI0019,QS110NI0020,QS110NI0021,QS110NI0022,QS110NI0023,QS110NI0024,QS110NI0025,QS110NI0026,QS110NI0027
95KK03W1,2344,130,67,63,1987,50,1690,116,228,969,377,0,76,30,12,26,8,171,40,40,91,227,54,68,0,11,94
95KK04W1,2787,188,61,127,2317,76,1500,176,283,739,302,2,214,46,74,85,9,525,143,241,141,282,85,61,0,4,132
95KK05W1,2587,153,77,76,2176,60,1739,122,310,846,461,0,61,16,9,22,14,316,72,124,120,258,67,101,0,2,88
95KK06W1,1885,199,74,125,1527,120,974,156,189,350,279,0,160,40,44,62,14,273,85,88,100,159,63,50,0,0,46
95KK07W1,2045,139,68,71,1745,100,1440,160,180,696,404,0,52,12,6,31,3,153,20,40,93,161,30,55,0,10,66
95KK08W1,2612,215,77,138,2182,148,1532,250,219,809,254,0,167,64,68,32,3,335,99,127,109,215,51,87,0,2,75
95KK09W1,2154,330,146,184,1518,126,891,166,144,353,228,0,156,78,34,44,0,345,122,120,103,306,63,102,0,2,139
95KK10W1,2181,147,83,64,1859,96,1522,134,261,822,305,0,66,20,0,43,3,175,36,68,71,175,53,57,0,0,65
95KK11W1,2373,303,127,176,1861,104,1172,204,248,468,252,0,173,36,51,75,11,412,131,167,114,209,44,53,5,6,101
95KK12W1,2309,189,72,117,1892,62,1482,128,303,738,313,0,87,30,7,44,6,261,51,105,105,228,51,77,0,27,73
95KK13W1,1769,143,66,77,1448,134,1064,136,195,455,278,0,77,16,18,40,3,173,43,54,76,178,51,50,0,13,64
95KK14W1,2041,161,69,92,1734,94,1257,134,187,559,377,0,78,20,13,37,8,305,86,110,109,146,39,48,0,6,53
95KK15W1,2918,166,64,102,2437,80,2005,176,341,1069,419,0,78,28,12,38,0,274,67,79,128,315,72,161,0,10,72
95KK16W1,2128,224,104,120,1636,102,1121,116,189,478,338,0,95,40,12,32,11,318,88,101,129,268,43,57,6,12,150
95LL01S1,2488,141,56,85,2153,104,1749,148,314,904,383,0,103,32,21,42,8,197,40,66,91,194,45,79,0,12,58
95LL01S2,2443,112,49,63,2194,92,1678,134,273,896,375,0,184,54,31,84,15,240,63,89,88,137,47,37,0,12,41
95LL02S1,1612,152,58,94,1307,78,937,144,157,462,174,4,108,54,30,24,0,180,67,55,58,153,23,51,0,2,77
95LL02S2,1411,364,122,242,813,50,371,90,132,88,61,2,162,62,69,25,6,228,101,61,66,234,30,50,0,5,149
95LL03W1,2436,403,167,236,1845,134,1007,182,204,462,159,0,220,88,48,78,6,484,178,199,107,188,57,32,0,4,95
95LL04W1,2938,243,121,122,2359,116,1456,192,273,645,346,0,229,76,70,77,6,558,156,197,205,336,124,96,0,16,100
95LL05S1,2345,161,67,94,2052,106,1712,242,289,858,323,2,67,30,27,10,0,165,36,86,43,132,38,51,0,6,37
95LL05S2,1736,136,51,85,1455,90,1090,184,194,471,241,0,78,20,18,26,14,197,50,83,64,145,34,68,0,0,43
95LL06S1,1654,159,60,99,1365,106,849,164,143,370,172,0,134,46,40,36,12,276,76,147,53,130,19,64,0,5,42
95LL06S2,1674,242,113,129,1303,136,796,178,179,208,231,0,118,34,33,48,3,253,108,75,70,129,35,22,5,13,54
95LL07W1,2131,400,184,216,1473,168,623,94,129,258,142,0,194,44,60,75,15,488,177,169,142,258,37,51,0,21,149
95LL08S1,1649,168,61,107,1216,22,667,38,166,336,127,0,138,36,41,58,3,389,115,182,92,265,81,81,0,8,95
95LL08S2,1651,262,63,199,1139,42,469,70,80,170,149,0,194,76,57,50,11,434,142,161,131,250,51,78,0,5,116
95LL09S1,1448,273,105,168,993,30,509,70,88,204,147,0,87,16,21,47,3,367,145,120,102,182,56,30,0,15,81
95LL09S2,1565,332,148,184,1060,86,584,80,118,217,169,0,92,30,27,29,6,298,92,129,77,173,30,56,0,17,70
95LL10S1,3074,138,51,87,2684,100,2101,170,367,1089,475,0,141,60,30,42,9,342,84,167,91,252,68,82,0,16,86
95LL10S2,2401,126,50,76,2010,92,1606,156,259,802,389,0,86,30,9,44,3,226,45,92,89,265,69,87,0,21,88
95LL11S1,1538,125,50,75,1334,88,976,166,154,416,240,0,101,38,26,34,3,169,57,41,71,79,18,36,0,6,19
95LL11S2,2428,128,40,88,2175,98,1750,286,339,859,266,0,127,40,41,43,3,200,52,107,41,125,51,36,0,10,28
95LL12S1,2929,204,47,157,2437,62,1371,164,287,725,195,0,308,88,66,138,16,696,249,305,142,288,58,84,0,8,138
95LL12S2,1283,98,28,70,1006,24,500,36,78,241,145,0,119,30,21,68,0,363,90,179,94,179,47,85,0,8,39
95LL13S1,1401,122,32,90,1119,50,678,120,124,319,115,8,141,34,35,60,12,242,98,94,50,160,39,44,0,10,67
95LL13S2,1344,187,52,135,1026,52,570,94,121,223,132,0,140,30,33,70,7,264,87,114,63,131,32,64,0,0,35
95LL14S1,1270,132,58,74,949,46,505,80,84,173,168,0,72,18,12,35,7,326,94,130,102,189,45,79,0,7,58
95LL14S2,1381,97,50,47,1141,92,725,92,149,243,241,0,62,8,9,27,18,262,62,121,79,143,64,44,0,0,35
95LL15S1,1446,288,151,137,1070,120,653,134,117,286,116,0,86,44,19,17,6,211,58,76,77,88,21,16,0,0,51
95LL15S2,1540,169,65,104,1246,118,837,192,146,325,174,0,108,56,25,21,6,183,54,59,70,125,19,27,0,0,79
95LL16S1,2789,236,102,134,2434,200,1747,302,376,800,269,0,186,56,62,59,9,301,90,117,94,119,45,17,0,0,57
95LL16S2,3256,257,56,201,2618,102,1784,306,426,814,238,0,369,142,115,105,7,363,102,153,108,381,110,103,0,5,163
95LL17W1,2529,338,169,169,1991,242,1228,272,227,439,290,0,165,52,55,42,16,356,98,127,131,200,82,47,0,4,67
95LL18S1,1954,189,100,89,1659,214,1057,190,170,452,245,0,117,46,35,30,6,271,78,113,80,106,22,37,0,8,39
95LL18S2,1377,101,46,55,1210,122,879,194,148,331,206,0,72,26,22,21,3,137,35,42,60,66,5,14,0,6,41
95LL19S1,2283,176,79,97,1973,134,1521,250,280,741,250,2,104,32,32,40,0,212,67,64,81,134,24,42,3,4,61
95LL19S2,2865,215,81,134,2480,154,1816,280,349,891,296,7,209,90,56,56,7,294,80,117,97,170,32,58,0,8,72
95LL20W1,2401,256,97,159,1914,124,1201,202,220,493,286,0,217,48,76,84,9,372,103,168,101,231,85,48,0,7,91
95LL21W1,3983,550,264,286,3011,210,1891,290,369,947,285,4,291,116,85,84,6,615,193,242,180,422,68,114,0,33,207
95LL22W1,3728,373,100,273,3013,124,1770,228,294,826,422,0,365,126,110,109,20,754,224,381,149,342,83,115,0,14,130
95LL23W1,2157,355,159,196,1604,138,884,152,165,318,249,2,211,46,54,102,9,369,137,110,122,198,49,62,0,4,83
95LL24S1,2027,127,51,76,1697,78,1344,182,264,619,279,0,117,46,30,35,6,158,43,65,50,203,52,48,0,9,94
95LL24S2,1716,124,50,74,1435,82,1036,118,151,514,253,0,84,32,15,29,8,233,54,95,84,157,44,17,0,18,78
95LL25S1,2583,244,95,149,2215,150,1562,264,271,753,274,0,254,98,55,94,7,249,74,88,87,124,26,41,0,2,55
95LL25S2,1953,141,53,88,1707,142,1315,234,260,579,242,2,105,38,39,22,6,143,50,58,35,105,37,17,0,0,51
95LL26S1,1517,348,66,282,992,68,516,106,97,177,136,0,170,66,59,23,22,238,116,50,72,177,24,27,0,4,122
95LL26S2,2179,136,56,80,1896,86,1431,140,256,682,353,2,93,30,18,38,7,284,70,131,83,147,49,55,0,2,41
95MM01S1,1427,188,58,130,1062,64,534,108,109,166,151,2,68,18,16,31,3,394,141,139,114,177,45,39,0,0,93
95MM01S2,1734,128,24,104,1415,68,860,142,176,423,119,10,161,72,33,56,0,316,98,179,39,191,46,67,0,0,78
95MM01S3,1614,160,42,118,1338,80,1020,194,188,400,238,0,58,34,12,6,6,180,75,53,52,116,27,26,5,0,58
95MM02S1,1507,160,89,71,1113,120,759,124,104,226,305,0,38,12,9,8,9,196,37,49,110,234,81,45,0,7,101
95MM02S2,1685,85,37,48,1354,58,1131,106,228,478,319,0,42,14,9,19,0,123,25,28,70,246,70,91,2,16,67
95MM03W1,3508,238,96,142,3012,116,2339,178,428,1181,552,0,197,52,36,105,4,360,68,133,159,258,47,104,0,12,95
95MM04W1,2151,302,126,176,1510,96,860,112,155,257,336,4,88,32,19,21,16,462,97,158,207,339,126,104,0,17,92
95MM05W1,2473,426,146,280,1652,56,709,90,178,261,180,0,79,28,13,35,3,808,194,413,201,395,90,140,5,6,154
95MM06S1,1376,122,43,79,980,42,548,48,99,213,188,0,38,2,25,4,7,352,97,145,110,274,98,134,0,6,36
95MM06S2,1176,124,37,87,867,36,385,48,70,132,135,0,61,14,13,34,0,385,148,149,88,185,61,69,0,0,55
95MM07W1,2578,460,194,266,1927,154,1030,208,197,374,251,0,119,48,24,40,7,624,216,251,157,191,48,25,0,30,88
95MM08S1,1291,223,81,142,910,62,470,44,122,151,153,0,53,16,12,25,0,325,134,131,60,158,55,55,0,4,44
95MM08S2,1651,206,115,91,1320,122,943,144,151,376,272,0,70,36,22,9,3,185,54,64,67,125,31,33,0,4,57
95MM09S1,1588,141,52,89,1287,52,887,122,142,462,161,0,50,26,13,11,0,298,85,127,86,160,24,69,0,8,59
95MM09S2,1974,126,47,79,1560,62,1239,114,166,685,274,0,68,8,18,29,13,191,35,87,69,288,76,84,0,9,119
95MM10S1,1456,107,32,75,1130,12,430,22,86,218,104,0,58,8,18,24,8,630,168,386,76,219,48,95,0,6,70
95MM10S2,1294,133,23,110,993,20,521,82,69,208,162,0,59,26,10,23,0,393,117,173,103,168,34,60,0,6,68
95MM11W1,2277,217,61,156,1579,74,632,54,131,197,250,0,68,18,13,33,4,805,234,365,206,481,108,234,3,5,131
95MM12S1,2022,99,28,71,1669,52,1031,90,182,505,254,0,67,24,18,22,3,519,156,258,105,254,53,124,0,19,58
95MM12S2,1298,142,14,128,954,16,329,42,59,142,86,0,53,8,6,36,3,556,140,301,115,202,63,86,0,4,49
95MM12S3,2538,140,22,118,2031,14,1146,70,245,625,206,0,122,22,44,50,6,749,214,425,110,367,114,163,3,0,87
95MM13S1,1205,59,24,35,1023,54,782,96,119,371,196,0,37,20,9,8,0,150,45,69,36,123,35,58,0,0,30
95MM13S2,1236,150,29,121,934,18,409,72,65,165,107,0,32,6,6,20,0,475,144,249,82,152,56,51,0,5,40
95MM13S3,1569,105,17,88,1277,28,595,50,95,300,150,0,81,24,16,37,4,573,149,306,118,187,44,74,0,4,65
